시도명,시군구명,읍/면/동,설치유무,화재발생횟수,화재발생비율
서울특별시,강남구,개포동,0,45,0.08964143426294821
서울특별시,강남구,논현동,0,77,0.15338645418326693
서울특별시,강남구,대치동,0,56,0.11155378486055777
서울특별시,강남구,도곡동,0,21,0.04183266932270916
서울특별시,강남구,삼성동,0,51,0.10159362549800798
서울특별시,강남구,세곡동,0,6,0.01195219123505976
서울특별시,강남구,수서동,0,10,0.0199203187250996
서울특별시,강남구,신사동,0,47,0.09362549800796813
서울특별시,강남구,압구정동,0,8,0.01593625498007968
서울특별시,강남구,역삼동,0,121,0.2410358565737052
서울특별시,강남구,율현동,0,4,0.00796812749003984
서울특별시,강남구,일원동,0,19,0.037848605577689244
서울특별시,강남구,자곡동,0,3,0.00597609561752988
서울특별시,강남구,청담동,0,34,0.06772908366533864
